date,yes_close
2026-08-30,0.19
2026-08-31,0.19
2026-09-01,0.17
2026-09-02,0.18
2026-09-03,0.19
2026-09-04,0.33
2026-09-05,0.27
2026-09-06,0.24
2026-09-07,0.24
2026-09-08,0.23
2026-09-09,0.22
2026-09-10,0.21
2026-09-11,0.23
2026-09-12,0.23
2026-09-13,0.22
2026-09-14,0.24
2026-09-15,0.24
2026-09-16,0.22
